Timestamp,PM2.5,PM10
2021-01-03 00:03:15.747,6,6
2021-01-03 00:03:16.476,7,7
2021-01-03 00:03:19.365,5,7
2021-01-03 00:03:20.094,6,7
2021-01-03 00:03:20.823,6,7
2021-01-03 00:03:22.987,6,7
2021-01-03 00:03:23.716,5,6
2021-01-03 00:03:24.444,5,6
2021-01-03 00:03:26.603,6,7
2021-01-03 00:03:28.063,6,7
2021-01-03 00:03:28.792,5,6
2021-01-03 00:03:29.520,5,6
2021-01-03 00:03:30.950,6,7
2021-01-03 00:03:32.408,5,6
2021-01-03 00:03:36.026,5,5
2021-01-03 00:03:36.755,5,5
2021-01-03 00:03:39.007,3,3
2021-01-03 00:03:40.464,3,3
2021-01-03 00:03:41.193,3,3
2021-01-03 00:03:43.351,2,2
2021-01-03 00:03:44.080,2,2
2021-01-03 00:03:45.537,3,3
2021-01-03 00:03:46.967,3,3
2021-01-03 00:03:47.696,3,3
2021-01-03 00:03:49.156,3,3
2021-01-03 00:03:49.884,6,8
2021-01-03 00:03:51.314,6,7
2021-01-03 00:03:52.043,7,8
2021-01-03 00:03:52.772,7,8
2021-01-03 00:03:53.501,10,11
2021-01-03 00:03:54.933,8,11
2021-01-03 00:03:55.661,10,11
2021-01-03 00:03:57.820,11,15
2021-01-03 00:04:00.009,8,10
2021-01-03 00:04:01.438,7,8
2021-01-03 00:04:02.167,7,8
2021-01-03 00:04:02.896,7,8
2021-01-03 00:04:03.624,7,8
2021-01-03 00:04:05.057,6,7
2021-01-03 00:04:05.786,6,7
2021-01-03 00:04:07.244,6,7
2021-01-03 00:04:07.972,6,7
2021-01-03 00:04:09.402,6,7
2021-01-03 00:04:10.862,5,5
2021-01-03 00:04:14.478,5,5
2021-01-03 00:04:15.209,5,5
2021-01-03 00:04:15.938,5,5
2021-01-03 00:04:19.553,6,6
2021-01-03 00:04:21.714,6,6
2021-01-03 00:04:23.172,5,5
2021-01-03 00:04:24.629,5,5
2021-01-03 00:04:26.790,6,6
2021-01-03 00:04:28.247,6,6
2021-01-03 00:04:29.677,5,5
2021-01-03 00:04:30.409,5,5
2021-01-03 00:04:31.138,6,6
2021-01-03 00:04:31.867,6,6
2021-01-03 00:04:33.296,6,6
2021-01-03 00:04:34.755,6,6
2021-01-03 00:04:35.579,6,6
2021-01-03 00:04:37.036,6,6
2021-01-03 00:04:39.195,6,6
2021-01-03 00:04:39.924,6,6
2021-01-03 00:04:40.655,6,6
2021-01-03 00:04:42.814,6,6
2021-01-03 00:04:44.271,6,6
2021-01-03 00:04:45.000,6,6
2021-01-03 00:04:46.432,6,6
2021-01-03 00:04:47.161,7,7
2021-01-03 00:04:47.890,7,7
2021-01-03 00:04:48.619,7,7
2021-01-03 00:04:51.506,7,7
2021-01-03 00:04:52.234,6,6
2021-01-03 00:04:52.963,6,6
2021-01-03 00:04:54.393,6,6
2021-01-03 00:04:55.851,6,6
2021-01-03 00:04:57.310,7,8
2021-01-03 00:04:58.740,7,8
2021-01-03 00:04:59.469,7,8
